Date,Location,Item,OH Quantity,OH Amount,On Order Quantity,On Order Amount,In Transit Quantity,In Transit Amount,NSI Quantity,NSI Amount
2020-02-08,LAKEWOOD,Chicken XXXXX-O,35,174.65,45,224.55,0,0.0,0,0
2020-02-09,RICHMOND CA,Chicken XXXXX-O,-26,-129.74,0,0.0,47,234.53,0,0
2020-03-05,HAYWARD,Chicken XXXXX-O,17,84.83,0,0.0,0,0.0,0,0
2020-02-10,RICHMOND CA,Chicken XXXXX-O,47,234.53,90,449.1,0,0.0,0,0
2020-02-09,LAKEWOOD,Chicken XXXXX-O,2,9.98,45,224.55,0,0.0,0,0
2020-01-29,FREMONT,Chicken XXXXX-O,143,713.57,0,0.0,0,0.0,0,0
2020-03-06,HAYWARD,Chicken XXXXX-O,17,84.83,90,449.1,0,0.0,0,0
2020-03-07,HAYWARD,Chicken XXXXX-O,17,84.83,0,0.0,90,449.1,0,0
2020-02-10,LAKEWOOD,Chicken XXXXX-O,2,9.98,0,0.0,48,239.52,0,0
2020-02-11,RICHMOND CA,Chicken XXXXX-O,47,234.53,0,0.0,91,454.09,0,0
2020-03-08,HAYWARD,Chicken XXXXX-O,58,289.42,0,0.0,0,0.0,0,0
2020-01-30,FREMONT,Chicken XXXXX-O,91,454.09,0,0.0,0,0.0,0,0
2020-02-11,LAKEWOOD,Chicken XXXXX-O,24,119.76,135,673.65,0,0.0,0,0
2020-03-09,HAYWARD,Chicken XXXXX-O,16,79.84,135,673.65,0,0.0,0,0
2020-02-12,RICHMOND CA,Chicken XXXXX-O,63,314.37,0,0.0,0,0.0,0,0
2020-03-10,HAYWARD,Chicken XXXXX-O,16,79.84,0,0.0,127,633.73,0,0
2020-02-12,LAKEWOOD,Chicken XXXXX-O,-3,-14.97,225,1122.75,122,608.78,0,0
2020-03-11,HAYWARD,Chicken XXXXX-O,20,99.8,0,0.0,0,0.0,0,0
2020-02-13,RICHMOND CA,Chicken XXXXX-O,47,234.53,0,0.0,0,0.0,0,0
2020-01-31,FREMONT,Chicken XXXXX-O,29,144.71,90,449.1,0,0.0,0,0
2020-02-01,FREMONT,Chicken XXXXX-O,29,144.71,0,0.0,87,434.13,0,0
2020-03-12,HAYWARD,Chicken XXXXX-O,16,79.84,0,0.0,0,0.0,0,0
2020-02-13,LAKEWOOD,Chicken XXXXX-O,91,454.09,45,224.55,0,0.0,0,0
2020-02-14,RICHMOND CA,Chicken XXXXX-O,47,234.53,45,224.55,0,0.0,0,0
2020-03-13,HAYWARD,Chicken XXXXX-O,16,79.84,90,449.1,0,0.0,0,0
2020-02-03,FREMONT,Chicken XXXXX-O,90,449.1,180,898.2,0,0.0,0,0
2020-03-14,HAYWARD,Chicken XXXXX-O,16,79.84,0,0.0,97,484.03,0,0
2020-02-14,LAKEWOOD,Chicken XXXXX-O,82,409.18,270,1347.3,42,209.58,0,0
2020-02-15,RICHMOND CA,Chicken XXXXX-O,47,234.53,0,0.0,46,229.54,0,0
2020-03-15,HAYWARD,Chicken XXXXX-O,27,134.73,0,0.0,0,0.0,0,0
2020-02-05,FREMONT,Chicken XXXXX-O,160,798.4,0,0.0,0,0.0,0,0
2020-02-06,FREMONT,Chicken XXXXX-O,110,548.9,0,0.0,0,0.0,0,0
2020-03-16,HAYWARD,Chicken XXXXX-O,27,134.73,0,0.0,226,1127.74,0,0
2020-02-15,LAKEWOOD,Chicken XXXXX-O,81,404.19,270,1347.3,0,0.0,0,0
2020-02-16,RICHMOND CA,Chicken XXXXX-O,77,384.23,0,0.0,0,0.0,0,0
2020-03-17,HAYWARD,Chicken XXXXX-O,27,134.73,0,0.0,226,1127.74,0,0
2020-03-18,HAYWARD,Chicken XXXXX-O,26,129.74,0,0.0,0,0.0,0,0
2020-02-16,LAKEWOOD,Chicken XXXXX-O,28,139.72,270,1347.3,0,0.0,0,0
2020-03-19,HAYWARD,Chicken XXXXX-O,26,129.74,0,0.0,0,0.0,0,0
2020-03-20,HAYWARD,Chicken XXXXX-O,26,129.74,90,449.1,0,0.0,0,0
2020-02-17,LAKEWOOD,Chicken XXXXX-O,5,24.95,180,898.2,90,449.1,0,0
2020-02-07,FREMONT,Chicken XXXXX-O,50,249.5,135,673.65,0,0.0,0,0
2020-03-21,HAYWARD,Chicken XXXXX-O,26,129.74,90,449.1,0,0.0,0,0
2020-02-19,RICHMOND CA,Chicken XXXXX-O,129,643.71,0,0.0,0,0.0,0,0
2020-03-22,HAYWARD,Chicken XXXXX-O,79,394.21,0,0.0,0,0.0,0,0
2020-02-18,LAKEWOOD,Chicken XXXXX-O,55,274.45,225,1122.75,0,0.0,0,0
2020-03-23,HAYWARD,Chicken XXXXX-O,27,134.73,0,0.0,0,0.0,0,0
2020-02-20,RICHMOND CA,Chicken XXXXX-O,44,219.56,0,0.0,0,0.0,0,0
2020-02-19,LAKEWOOD,Chicken XXXXX-O,45,224.55,315,1571.85,94,469.06,0,0
2020-02-08,FREMONT,Chicken XXXXX-O,45,224.55,135,673.65,138,688.62,0,0
2020-03-24,HAYWARD,Chicken XXXXX-O,27,134.73,180,898.2,0,0.0,0,0
2020-02-09,FREMONT,Chicken XXXXX-O,183,913.17,0,0.0,0,0.0,0,0
2020-02-21,RICHMOND CA,Chicken XXXXX-O,4,19.96,135,673.65,0,0.0,0,0
2020-03-25,HAYWARD,Chicken XXXXX-O,27,134.73,0,0.0,172,858.28,0,0
2020-02-20,LAKEWOOD,Chicken XXXXX-O,94,469.06,90,449.1,0,0.0,0,0
2020-03-26,HAYWARD,Chicken XXXXX-O,-145,-723.55,0,0.0,172,858.28,0,0
2020-02-22,RICHMOND CA,Chicken XXXXX-O,-1,-4.99,0,0.0,141,703.59,0,0
2020-02-21,LAKEWOOD,Chicken XXXXX-O,52,259.48,270,1347.3,93,464.07,0,0
2020-03-27,HAYWARD,Chicken XXXXX-O,27,134.73,90,449.1,0,0.0,0,0
2020-02-23,RICHMOND CA,Chicken XXXXX-O,140,698.6,0,0.0,0,0.0,0,0
2020-03-28,HAYWARD,Chicken XXXXX-O,27,134.73,0,0.0,90,449.1,0,0
2020-02-22,LAKEWOOD,Chicken XXXXX-O,93,464.07,270,1347.3,0,0.0,0,0
2020-03-29,HAYWARD,Chicken XXXXX-O,46,229.54,0,0.0,0,0.0,0,0
2020-02-24,RICHMOND CA,Chicken XXXXX-O,84,419.16,90,449.1,0,0.0,0,0
2020-02-23,LAKEWOOD,Chicken XXXXX-O,63,314.37,270,1347.3,0,0.0,0,0
2020-03-30,HAYWARD,Chicken XXXXX-O,27,134.73,450,2245.5,0,0.0,0,0
2020-03-31,HAYWARD,Chicken XXXXX-O,27,134.73,0,0.0,467,2330.33,0,0
2020-02-24,LAKEWOOD,Chicken XXXXX-O,32,159.68,180,898.2,89,444.11,0,0
2020-04-01,HAYWARD,Chicken XXXXX-O,425,2120.75,0,0.0,0,0.0,0,0
2020-02-26,RICHMOND CA,Chicken XXXXX-O,52,259.48,0,0.0,0,0.0,0,0
2020-02-25,LAKEWOOD,Chicken XXXXX-O,79,394.21,180,898.2,0,0.0,0,0
2020-02-10,FREMONT,Chicken XXXXX-O,96,479.04,90,449.1,0,0.0,0,0
2020-04-02,HAYWARD,Chicken XXXXX-O,253,1262.47,0,0.0,0,0.0,0,0
2020-04-03,HAYWARD,Chicken XXXXX-O,26,129.74,0,0.0,0,0.0,0,0
2020-02-26,LAKEWOOD,Chicken XXXXX-O,14,69.86,225,1122.75,99,494.01,0,0
2020-04-04,HAYWARD,Chicken XXXXX-O,26,129.74,0,0.0,0,0.0,0,0
2020-02-11,FREMONT,Chicken XXXXX-O,56,279.44,0,0.0,85,424.15,0,0
2020-02-27,LAKEWOOD,Chicken XXXXX-O,104,518.96,90,449.1,0,0.0,0,0
2020-04-05,HAYWARD,Chicken XXXXX-O,26,129.74,0,0.0,0,0.0,0,0
2020-04-06,HAYWARD,Chicken XXXXX-O,26,129.74,45,224.55,0,0.0,0,0
2020-02-28,LAKEWOOD,Chicken XXXXX-O,99,494.01,180,898.2,96,479.04,0,0
2020-03-01,RICHMOND CA,Chicken XXXXX-O,21,104.79,0,0.0,0,0.0,0,0
2020-04-07,HAYWARD,Chicken XXXXX-O,26,129.74,0,0.0,44,219.56,0,0
2020-02-29,LAKEWOOD,Chicken XXXXX-O,116,578.84,180,898.2,0,0.0,0,0
2020-04-08,HAYWARD,Chicken XXXXX-O,51,254.49,0,0.0,0,0.0,0,0
2020-02-12,FREMONT,Chicken XXXXX-O,107,533.93,0,0.0,0,0.0,0,0
2020-03-02,RICHMOND CA,Chicken XXXXX-O,-3,-14.97,135,673.65,0,0.0,0,0
2020-04-09,HAYWARD,Chicken XXXXX-O,26,129.74,45,224.55,0,0.0,0,0
2020-03-01,LAKEWOOD,Chicken XXXXX-O,6,29.94,180,898.2,0,0.0,0,0
2020-04-10,HAYWARD,Chicken XXXXX-O,26,129.74,45,224.55,0,0.0,0,0
2020-03-03,RICHMOND CA,Chicken XXXXX-O,-3,-14.97,0,0.0,138,688.62,0,0
2020-03-02,LAKEWOOD,Chicken XXXXX-O,6,29.94,135,673.65,45,224.55,0,0
2020-04-11,HAYWARD,Chicken XXXXX-O,26,129.74,0,0.0,49,244.51,0,0
2020-03-04,RICHMOND CA,Chicken XXXXX-O,-3,-14.97,0,0.0,0,0.0,0,0
2020-03-03,LAKEWOOD,Chicken XXXXX-O,6,29.94,90,449.1,0,0.0,0,0
2020-04-12,HAYWARD,Chicken XXXXX-O,26,129.74,0,0.0,49,244.51,0,0
2020-04-13,HAYWARD,Chicken XXXXX-O,49,244.51,180,898.2,0,0.0,0,0
